id,code,name_en,name_zh,address_en,address_zh,latitude,longitude,phone,email,height_limit,facility_no,district_id,priority,record_id
00000000-0000-0000-000000000001,P851,EDGE,EDGE,"30-34 Kwai Wing Road, Kwai Chung",葵涌葵榮路30-34號,22.366886300596498,114.13419708518984,9856-0851,website_g3@wilsonparking.com.hk,,7999851,49,104,1
00000000-0000-0000-000000000007,P106,Tin Hau Car Park,天后停車場,"Lau Sin Street & Electric Road, Tin Hau",天后留仙街與電氣道,22.2830233,114.1916625,2566-3419,,,1413434,20,107,7
00000000-0000-0000-000000000008,P10,Tsuen Wan Car Park,荃灣停車場,"174-208 Castle Peak Road, Tsuen Wan",荃灣青山公路174-208號,22.373,114.1187254,2611-9148,,,1413459,62,108,8
00000000-0000-0000-00000000000d,P848,Centre Parc,常悅道11號,"11 Sheung Yuet Road, Kowloon Bay",九龍灣常悅道11號,22.3221934,114.208289,6113-5848,,,1413210,27,113,13
00000000-0000-0000-00000000000e,P707(I),Chelsea Heights Phase I,卓爾居1期,"1 Shek Pai Tau Path, Tuen Mun",屯門石排頭徑1號,22.40159915915589,113.9746859322521,9018-9707,,,1412329,63,114,14
00000000-0000-0000-00000000000f,P72(S4),Mei Foo Sun Chuen Stage 4,美孚新邨4期,"Stage 4 Mei Foo Sun Chuen, Lai Chi Kok",荔枝角美孚新邨4期,22.336438791241047,114.14241927504361,6012-1072,,1.9,1412592,30,115,15
00000000-0000-0000-000000000010,P72(S7),Mei Foo Sun Chuen Stage 7,美孚新邨7期,"Stage 7, Mei Foo Sun Chuen, Lai Chi Kok",荔枝角美孚新邨7期,22.338036519078337,114.13804593324483,9229-6642,,,1412642,30,116,16
00000000-0000-0000-000000000011,P845,Nan Fung Commercial Centre,南豐商業中心,"18 Lam Lok Street, Kowloon Bay",九龍灣臨樂街18號,22.3232263,114.2075936,9664-3845,,,1412386,27,117,17
00000000-0000-0000-00000000001b,P837,New Town Mansion,新都大廈,"2 Tuen Lee Street, Tuen Mun",屯門屯利街2號,22.39116869524617,113.97817432789805,6017-9837,,,1410711,63,127,27
00000000-0000-0000-00000000001e,P833,No. 8 Observatory Road,天文臺道8號,"8 Observatory Road, Tsim Sha Tsui",尖沙咀天文臺道8號,22.301007008324667,114.17574852614405,9319-0833,,,,40,129,30
00000000-0000-0000-00000000001f,P834,Wang Kwong Road,宏光道,"Wang Kwong Road, Kowloon Bay",九龍灣宏光道,22.3285047,114.2056663,9229-6642,,,1412444,27,130,31
00000000-0000-0000-000000000020,P830,KC100,KC100,"100 Kwai Cheong Road, Kwai Chung",葵涌葵昌路100號,22.3611551,114.1325205,6464-0830,website_g3@wilsonparking.com.hk,,7999830,49,131,32
00000000-0000-0000-000000000024,P829,Brighton Place,海晴軒," 23 Shiu Wo Street, Tsuen Wan",荃灣兆和街23號,22.37215336437068,114.11748692302706,9455-3829,website_g3@wilsonparking.com.hk,,7999829,62,133,36
00000000-0000-0000-000000000029,P826,Wing Lung Street,永隆街,"13-19 Wing Lung Street, Cheung Sha Wan",長沙灣永隆街13-19號,22.338117,114.1586217,9171-4826,,,7999826,22,136,41
00000000-0000-0000-00000000002a,P825,Tsuen King Circuit,荃景圍,"Tsuen King Circuit, Tsuen Wan",荃灣荃景圍,22.379982281127624,114.10600170402529,9015-0825,,,7999825,62,137,42
00000000-0000-0000-00000000002c,P823,Wu Shan Road,湖山路,"Wu Shan Road, Tuen Mun",屯門湖山路,22.375145840907408,113.96926268844607,9310-1823,,,1412717,63,138,44
00000000-0000-0000-00000000002e,P821,The ONE,The ONE,"100 Nathan Road, Tsim Sha Tsui",尖沙咀彌敦道100號,22.299714,114.17282,9850-2821,edithchow@wilsonparking.com.hk,,1412790,40,139,46
00000000-0000-0000-000000000063,P757,Tsan Yung Mansion,曾榕大廈,"70 Waterloo Road, Mongkok",旺角窩打老道70號,22.317073424825356,114.17488396167755,9687-0757,,,7999757,32,187,99
