id,code,name_en,name_zh,address_en,address_zh,latitude,longitude,phone,email,height_limit,facility_no,district_id,priority,record_id,region,district
00000000-0000-0000-000000000001,P851,EDGE,EDGE,"30-34 Kwai Wing Road, Kwai Chung",葵涌葵榮路30-34號,22.366886300596494,114.13419708518984,9856-0851,website_g3@wilsonparking.com.hk,,7999851.0,49,104.0,1,New Territories,Kwai Tsing
00000000-0000-0000-000000000007,P106,Tin Hau Car Park,天后停車場,"Lau Sin Street & Electric Road, Tin Hau",天后留仙街與電氣道,22.2830233,114.1916625,2566-3419,,,1413434.0,20,107.0,7,Hong Kong,Wan Chai
00000000-0000-0000-000000000008,P10,Tsuen Wan Car Park,荃灣停車場,"174-208 Castle Peak Road, Tsuen Wan",荃灣青山公路174-208號,22.373,114.1187254,2611-9148,,,1413459.0,62,108.0,8,Hong Kong,Tsuen Wan
00000000-0000-0000-00000000000d,P848,Centre Parc,常悅道11號,"11 Sheung Yuet Road, Kowloon Bay",九龍灣常悅道11號,22.3221934,114.208289,6113-5848,,,1413210.0,27,113.0,13,Kowloon,Kwun Tong
00000000-0000-0000-00000000000e,P707(I),Chelsea Heights Phase I,卓爾居1期,"1 Shek Pai Tau Path, Tuen Mun",屯門石排頭徑1號,22.40159915915589,113.9746859322521,9018-9707,,,1412329.0,63,114.0,14,New Territories,Tuen Mun
00000000-0000-0000-00000000000f,P72(S4),Mei Foo Sun Chuen Stage 4,美孚新邨4期,"Stage 4 Mei Foo Sun Chuen, Lai Chi Kok",荔枝角美孚新邨4期,22.336438791241047,114.1424192750436,6012-1072,,1.9,1412592.0,30,115.0,15,Kowloon,Lai Chi Kok
00000000-0000-0000-000000000010,P72(S7),Mei Foo Sun Chuen Stage 7,美孚新邨7期,"Stage 7, Mei Foo Sun Chuen, Lai Chi Kok",荔枝角美孚新邨7期,22.338036519078337,114.13804593324484,9229-6642,,,1412642.0,30,116.0,16,Kowloon,Sham Shui Po
00000000-0000-0000-000000000011,P845,Nan Fung Commercial Centre,南豐商業中心,"18 Lam Lok Street, Kowloon Bay",九龍灣臨樂街18號,22.3232263,114.2075936,9664-3845,,,1412386.0,27,117.0,17,Kowloon,Kwun Tong
00000000-0000-0000-00000000001b,P837,New Town Mansion,新都大廈,"2 Tuen Lee Street, Tuen Mun",屯門屯利街2號,22.39116869524617,113.97817432789805,6017-9837,,,1410711.0,63,127.0,27,Hong Kong,Tuen Mun
00000000-0000-0000-00000000001e,P833,No. 8 Observatory Road,天文臺道8號,"8 Observatory Road, Tsim Sha Tsui",尖沙咀天文臺道8號,22.301007008324667,114.17574852614403,9319-0833,,,,40,129.0,30,Kowloon,Tsim Sha Tsui
